id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
222009,1998,1,1998,1998,2,4586,AUC - FARC,5196,AUC - FARC,771,,AUC,743,,FARC,-1,"Reuters 29 Dec 1998 ""Colombia death squad leader said killed by rebels."" /Reuters 30 Dec 1998 ""Colombia rebels say top death squad leader killed."" /Reuters 30 Dec 1998 ""Colombia rebels kill 30, death squad chief escapes.",,,,AUC spokesman /FARC spokesman /Local official,4,Córdoba department,Córdoba department,,8.333333,-75.666667,POINT (-75.666667 8.333333),141329,Colombia,100,COL,Americas,1,2,1998-12-27,1998-12-29,8,0,30,0,38,38,38
221032,1991,1,1991,1991,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 1 Jan 1992 ""SIX FEARED KILLED IN GUERRILLA ASSAULT ON COLOMBIAN TOWN.",,,,Police spokesman,1,Chita town,Boyacá department,Chita municipality,6.19053,-72.47588,POINT (-72.475880 6.190530),138456,Colombia,100,COL,Americas,1,2,1991-12-30,1991-12-31,1,0,1,0,2,2,6
221726,1997,1,1997,1997,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 17 June 1997 ""Seventeen killed in combat in northern Colombia.",,,,Military spokesman,2,Turbo town,Antioquia department,Turbo municipality,8.09263,-76.72822,POINT (-76.728220 8.092630),141327,Colombia,100,COL,Americas,1,2,1997-06-15,1997-06-16,2,15,0,0,17,17,17
222351,2000,1,2000,2000,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"AP 27 March 2000 ""Fierce rebel attacks kill at least 30 in Colombia"" / AP 29 March 2000 ""United Nations condemns attack by Colombian rebels",,,,Antioquia state government spokesman,1,Vigía del Fuerte town,Antioquia department,Vigía del Fuerte municipality,6.578911,-76.886278,POINT (-76.886278 6.578911),139167,Colombia,100,COL,Americas,1,2,2000-03-25,2000-03-26,23,0,6,0,29,29,29
219868,2002,1,2002,2002,2,4586,AUC - FARC,5196,AUC - FARC,771,,AUC,743,,FARC,-1,"Reuters 2002-05-16 ""Body count climbs to 78 in Colombian clashes.",,,,Army,2,Campamento town,Antioquia department,Campamento municipality,6.979196,-75.297235,POINT (-75.297235 6.979196),139170,Colombia,100,COL,Americas,1,2,2002-05-14,2002-05-15,0,0,0,41,41,41,41
221777,1997,1,1997,1997,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 1 Sep 1997 ""Up to 24 killed in fighting in southwest Colombia.",,,,Police spokesman,1,San Miguel town,Putumayo department,San Miguel municipality,0.343144,-76.911243,POINT (-76.911243 0.343144),129807,Colombia,100,COL,Americas,1,2,1997-08-31,1997-09-01,4,0,0,0,4,4,24
221075,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 3 May 1992 ""COLOMBIAN ARMY CLASH WITH REBELS, AT LEAST 14 DEAD",,,,Rebel spokesman / Military spokesman,4,Meta department,Meta department,,3.5,-73.0,POINT (-73.000000 3.500000),134855,Colombia,100,COL,Americas,1,2,1992-05-02,1992-05-03,5,4,0,0,9,9,9
221317,1995,1,1995,1995,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Inravision TV-A, Bogota, in Spanish 1800 gmt 18 Feb 95",,,,Police spokesman,1,Támara town,Casanare department,Támara municipality,5.829722,-72.163333,POINT (-72.163333 5.829722),137736,Colombia,100,COL,Americas,1,2,1995-02-17,1995-02-18,2,0,0,0,2,2,2
221321,1995,1,1995,1995,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Inravision TV-A, Bogota, in Spanish 1800 gmt 18 Feb 95",,,,Military spokesman,1,La Uribe town,Meta department,Uribe municipality,3.240895,-74.354969,POINT (-74.354969 3.240895),134132,Colombia,100,COL,Americas,1,2,1995-02-17,1995-02-18,0,3,0,0,3,3,3
